"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Riu Plaza Fisherman's Wharf","Fisherman's Wharf, San Francisco Show on map","£203","1 night, 2 adults","Deluxe King Room","1 extra-large double bed","8.2","Very good","593 reviews","/hotel/us/sheraton-fishermans-wharf.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5889124_268779679_0_41_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=5889124_268779679_0_41_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=5889124_268779679_0_41_0__26758&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hilton San Francisco Financial District","Financial District, San Francisco Show on map","£104","1 night, 2 adults","Double Room","1 double bed","7.4","Good","1,546 reviews","/hotel/us/hilton-san-francisco-financial-district.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5928403_274559581_2_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=2&highlighted_blocks=5928403_274559581_2_0_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=5928403_274559581_2_0_0__13758&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"InterContinental San Francisco","Downtown San Francisco, San Francisco Show on map","£183","1 night, 2 adults","Standard Queen Room","1 large double bed","8.4","Very good","942 reviews","/hotel/us/inter-continental-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=18193518_277288455_2_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=3&highlighted_blocks=18193518_277288455_2_2_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=18193518_277288455_2_2_0__24227&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Holiday Inn San Francisco - Golden Gateway","Nob Hill, San Francisco Show on map","£158","1 night, 2 adults","King Room","1 extra-large double bed","7.9","Good","1,270 reviews","/hotel/us/holiday-inn-san-francisco-golden-gateway.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=18230006_277287940_2_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=4&highlighted_blocks=18230006_277287940_2_0_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=18230006_277287940_2_0_0__20898&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Warwick San Francisco","Union Square, San Francisco Show on map","£279","1 night, 2 adults","Deluxe Queen Room","1 large double bed","8.0","Very good","1,286 reviews","/hotel/us/warkwick-regis.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5660701_249979817_0_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=5&highlighted_blocks=5660701_249979817_0_2_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=5660701_249979817_0_2_0__36839&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Hyatt Centric Fisherman's Wharf San Francisco","Fisherman's Wharf, San Francisco Show on map","£160","1 night, 2 adults","Standard King Room","1 extra-large double bed","8.1","Very good","838 reviews","/hotel/us/hyatt-fisherman-s-wharf.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=37440714_262195805_2_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=37440714_262195805_2_2_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=37440714_262195805_2_2_0__21089&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Handlery Union Square Hotel","Union Square, San Francisco Show on map","£118","1 night, 2 adults","Queen Room","1 large double bed","8.2","Very good","1,966 reviews","/hotel/us/handlery-union-square.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5628503_245000754_0_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=7&highlighted_blocks=5628503_245000754_0_0_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=5628503_245000754_0_0_0__15615&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"San Francisco Marriott Fisherman's Wharf","Fisherman's Wharf, San Francisco Show on map","£158","1 night, 2 adults","King Room","2 beds
(1 extra-large double, 1 sofa bed)","8.2","Very good","473 reviews","/hotel/us/marriott-san-francisco-fisherman-s-wharf.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=23974405_285645197_0_1_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=8&highlighted_blocks=23974405_285645197_0_1_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=23974405_285645197_0_1_0__20844&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"Club Quarters Hotel in San Francisco","Financial District, San Francisco Show on map","£149","1 night, 2 adults","Small Queen Room","1 large double bed","8.2","Very good","1,748 reviews","/hotel/us/club-quarters-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=5606603_249464859_2_0_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=9&highlighted_blocks=5606603_249464859_2_0_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=5606603_249464859_2_0_0__19680&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
"San Francisco Marriott Marquis Union Square","Union Square, San Francisco Show on map","£149","1 night, 2 adults","King Room No View","1 extra-large double bed","8.5","Very good","2,422 reviews","/hotel/us/marriott-marquis-san-francisco.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=2f79d639136abaa770be58979c013aa1&all_sr_blocks=26287701_279495074_2_2_0&checkin=2021-05-21&checkout=2021-05-22&dest_id=20015732&dest_type=city&group_adults=2&group_children=0&hapos=10&highlighted_blocks=26287701_279495074_2_2_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=26287701_279495074_2_2_0__19719&srepoch=1607977321&srpvid=76b68f3444c60142&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
